读者ID,ISBN,品类,年龄区间,性别,单次购买力区间,复购,购买日期
R44816,9781543039117,社科,18-25,女,50-100,0,2025-01-01
R31747,9781543039117,社科,36-45,女,50-100,0,2025-01-01
R84607,9781543039117,社科,18-25,男,50-100,0,2025-01-01
R45683,9787824896383,社科,18-25,女,50-100,0,2025-01-01
R20543,9787824896383,社科,36-45,男,50-100,0,2025-01-01
R52247,9787824896383,社科,18-25,男,50-100,0,2025-01-01
R40005,9787824896383,社科,36-45,女,50-100,0,2025-01-01
R85529,9788713315098,社科,46-55,男,50-100,1,2025-01-01
R71669,9788713315098,社科,18-25,女,50-100,0,2025-01-01
R46458,9788713315098,社科,36-45,女,50-100,1,2025-01-01
R55607,9780310518347,社科,36-45,男,20-50,0,2025-01-01
R23710,9780310518347,社科,36-45,男,20-50,0,2025-01-01
R74942,9780310518347,社科,18-25,男,20-50,0,2025-01-01
R82102,9780310518347,社科,18-25,女,20-50,1,2025-01-01
R77449,9787631165667,社科,36-45,女,50-100,0,2025-01-01
R81118,9787631165667,社科,26-35,女,50-100,0,2025-01-01
R77952,9787631165667,社科,18-25,男,50-100,0,2025-01-01
R91973,9787631165667,社科,26-35,女,50-100,0,2025-01-01
R67424,9786513338726,社科,36-45,女,20-50,0,2025-01-01
R13783,9786513338726,社科,46-55,男,20-50,0,2025-01-01
R41365,9786513338726,社科,46-55,男,20-50,0,2025-01-01
R39451,9781781080132,社科,46-55,女,50-100,0,2025-01-01
R75323,9786026064746,社科,26-35,男,50-100,0,2025-01-01
R45838,9786026064746,社科,26-35,女,50-100,0,2025-01-01
R28958,9784309805009,社科,46-55,男,50-100,0,2025-01-01
R76616,9784309805009,社科,36-45,男,50-100,0,2025-01-01
R19150,9784309805009,社科,18-25,男,50-100,0,2025-01-01
R64387,9784309805009,社科,55+,男,50-100,0,2025-01-01
R45018,9784309805009,社科,36-45,女,50-100,0,2025-01-01
R96499,9788121913619,科技,55+,女,50-100,0,2025-01-01
R80592,9788121913619,科技,26-35,男,50-100,0,2025-01-01
R81228,9788121913619,科技,18-25,男,50-100,0,2025-01-01
R34727,9788121913619,科技,26-35,男,50-100,0,2025-01-01
R60196,9788121913619,科技,18-25,女,50-100,1,2025-01-01
R59968,9789985435346,科技,18-25,男,50-100,0,2025-01-01
R95461,9789985435346,科技,26-35,女,50-100,0,2025-01-01
R14852,9789985435346,科技,18-25,男,50-100,1,2025-01-01
R53515,9789985435346,科技,36-45,男,50-100,0,2025-01-01
R12011,9781079911838,科技,36-45,男,50-100,0,2025-01-01
R95823,9781079911838,科技,26-35,男,50-100,0,2025-01-01
R44737,9781079911838,科技,18-25,女,50-100,1,2025-01-01
R95175,9781079911838,科技,26-35,男,50-100,1,2025-01-01
R80912,9783542784980,科技,18-25,男,50-100,1,2025-01-01
R92727,9783542784980,科技,18-25,男,50-100,0,2025-01-01
R39817,9783542784980,科技,26-35,男,50-100,0,2025-01-01
R22903,9783542784980,科技,26-35,男,50-100,0,2025-01-01
R13794,9782411824493,科技,46-55,男,50-100,1,2025-01-01
R48452,9782411824493,科技,26-35,男,50-100,0,2025-01-01
R42007,9782411824493,科技,46-55,女,50-100,0,2025-01-01
R89887,9787401640052,科技,18-25,男,50-100,0,2025-01-01
R28758,9787868011280,科技,36-45,男,50-100,1,2025-01-01
R70236,9787868011280,科技,26-35,男,50-100,1,2025-01-01
R70981,9787868011280,科技,36-45,女,50-100,0,2025-01-01
R30706,9787868011280,科技,26-35,男,50-100,1,2025-01-01
R87014,9787868011280,科技,26-35,男,50-100,1,2025-01-01
R36111,9780450533158,科技,36-45,女,50-100,0,2025-01-01
R23979,9780450533158,科技,36-45,男,50-100,1,2025-01-01
R85341,9780450533158,科技,18-25,男,50-100,1,2025-01-01
R45976,9783226025634,科技,36-45,男,50-100,1,2025-01-01
R16428,9783226025634,科技,18-25,男,50-100,0,2025-01-01
R47512,9783226025634,科技,26-35,男,50-100,0,2025-01-01
R56179,9783226025634,科技,26-35,男,50-100,1,2025-01-01
R92345,9780733754330,科技,18-25,男,50-100,1,2025-01-01
R15167,9780733754330,科技,18-25,男,50-100,1,2025-01-01
R48680,9781458685014,少儿,36-45,女,20-50,0,2025-01-01
R57953,9789655698169,少儿,36-45,女,20-50,0,2025-01-01
R31567,9789655698169,少儿,36-45,男,20-50,1,2025-01-01
R73156,9789655698169,少儿,26-35,男,20-50,0,2025-01-01
R54396,9789655698169,少儿,46-55,男,20-50,0,2025-01-01
R19869,9789655698169,少儿,36-45,女,20-50,1,2025-01-01
R57942,9788835615951,少儿,36-45,女,20-50,1,2025-01-01
R44663,9788835615951,少儿,36-45,女,20-50,0,2025-01-01
R98188,9788835615951,少儿,26-35,女,20-50,0,2025-01-01
R59941,9788835615951,少儿,18-25,女,20-50,0,2025-01-01
R24201,9788835615951,少儿,26-35,女,20-50,0,2025-01-01
R94889,9786564823662,少儿,46-55,女,20-50,1,2025-01-01
R49608,9786564823662,少儿,26-35,男,20-50,0,2025-01-01
R74569,9780443699577,少儿,26-35,女,20-50,1,2025-01-01
R80457,9780443699577,少儿,36-45,男,20-50,1,2025-01-01
R97881,9780443699577,少儿,26-35,女,20-50,0,2025-01-01
R64379,9782148951343,少儿,26-35,男,50-100,0,2025-01-01
R90694,9782148951343,少儿,36-45,女,50-100,0,2025-01-01
R68115,9783791769367,少儿,36-45,女,20-50,0,2025-01-01
R57537,9783791769367,少儿,36-45,女,20-50,1,2025-01-01
R34878,9781632870831,少儿,26-35,女,20-50,0,2025-01-01
R69600,9781632870831,少儿,36-45,女,20-50,1,2025-01-01
R93819,9781632870831,少儿,36-45,男,20-50,0,2025-01-01
R84000,9787986872774,少儿,36-45,女,50-100,1,2025-01-01
R82641,9787986872774,少儿,36-45,女,50-100,1,2025-01-01
R88116,9783471434558,少儿,26-35,女,20-50,1,2025-01-01
R28964,9783471434558,少儿,36-45,女,20-50,0,2025-01-01
R27275,9782316658760,教辅,36-45,女,20-50,1,2025-01-01
R32838,9789096705466,教辅,18-25,男,50-100,1,2025-01-01
R72422,9784670656272,教辅,26-35,男,50-100,0,2025-01-01
R90623,9789016272046,教辅,26-35,女,20-50,1,2025-01-01
R96363,9789016272046,教辅,18-25,女,20-50,0,2025-01-01
R62640,9786464170805,教辅,18-25,男,20-50,0,2025-01-01
R68138,9786464170805,教辅,18-25,男,20-50,1,2025-01-01
R89730,9786464170805,教辅,36-45,男,20-50,1,2025-01-01
R91830,9786464170805,教辅,18-25,男,20-50,0,2025-01-01
R79541,9780330923271,教辅,26-35,女,50-100,1,2025-01-01
R66387,9780330923271,教辅,26-35,女,50-100,1,2025-01-01
R95814,9780330923271,教辅,55+,女,50-100,0,2025-01-01
R38183,9780330923271,教辅,18-25,女,50-100,0,2025-01-01
R64239,9780330923271,教辅,18-25,男,50-100,1,2025-01-01
R65936,9784529912419,教辅,18-25,男,20-50,1,2025-01-01
R30006,9784529912419,教辅,36-45,女,20-50,0,2025-01-01
R21957,9784529912419,教辅,26-35,男,20-50,0,2025-01-01
R27054,9783193149190,教辅,18-25,女,20-50,0,2025-01-01
R83608,9783193149190,教辅,26-35,女,20-50,0,2025-01-01
R63845,9783193149190,教辅,18-25,女,20-50,1,2025-01-01
R47700,9788506716572,教辅,26-35,女,50-100,0,2025-01-01
R39392,9786945314737,教辅,26-35,男,50-100,0,2025-01-01
R82910,9786945314737,教辅,18-25,男,50-100,1,2025-01-01
R85248,9786945314737,教辅,36-45,男,50-100,1,2025-01-01
R83526,9786945314737,教辅,18-25,男,50-100,0,2025-01-01
R13794,9781043321819,文学,18-25,女,50-100,1,2025-01-01
R50499,9781043321819,文学,36-45,女,50-100,0,2025-01-01
R33777,9781043321819,文学,18-25,女,50-100,0,2025-01-01
R22026,9783890838637,文学,26-35,男,50-100,0,2025-01-01
R58503,9786542351161,文学,26-35,女,50-100,0,2025-01-01
R84395,9786542351161,文学,36-45,男,50-100,0,2025-01-01
R16522,9780781618495,文学,26-35,女,50-100,0,2025-01-01
R96761,9780781618495,文学,46-55,女,50-100,0,2025-01-01
R64287,9780781618495,文学,18-25,男,50-100,0,2025-01-01
R24918,9780781618495,文学,36-45,男,50-100,0,2025-01-01
R98895,9780781618495,文学,55+,女,50-100,0,2025-01-01
R88554,9783413164752,文学,26-35,女,50-100,1,2025-01-01
R37686,9783413164752,文学,26-35,女,50-100,0,2025-01-01
R47938,9783413164752,文学,26-35,女,50-100,0,2025-01-01
R66446,9783413164752,文学,18-25,男,50-100,1,2025-01-01
R19447,9781928327648,文学,18-25,男,20-50,0,2025-01-01
R67176,9781928327648,文学,18-25,女,20-50,1,2025-01-01
R51033,9781928327648,文学,18-25,男,20-50,0,2025-01-01
R12733,9780564139537,文学,46-55,男,50-100,0,2025-01-01
R91018,9780564139537,文学,26-35,男,50-100,0,2025-01-01
R57428,9780564139537,文学,36-45,女,50-100,1,2025-01-01
R41891,9780564139537,文学,46-55,女,50-100,0,2025-01-01
R54500,9782388496965,文学,46-55,男,20-50,1,2025-01-01
R20011,9782388496965,文学,18-25,女,20-50,0,2025-01-01
R76840,9782388496965,文学,55+,女,20-50,1,2025-01-01
R40968,9780122691669,文学,26-35,女,50-100,1,2025-01-01
R32740,9780122691669,文学,55+,女,50-100,0,2025-01-01
R70811,9781845146270,文学,26-35,女,50-100,0,2025-01-01
R68838,9781845146270,文学,36-45,男,50-100,0,2025-01-01
R94278,9781845146270,文学,46-55,女,50-100,0,2025-01-01
R92210,9781845146270,文学,46-55,男,50-100,0,2025-01-01
R46002,9781489325288,社科,46-55,男,50-100,0,2025-01-01
R19724,9781489325288,社科,18-25,女,50-100,0,2025-01-01
R17456,9781489325288,社科,18-25,男,50-100,0,2025-01-01
R60394,9781543039117,社科,55+,女,50-100,0,2025-01-01
R15376,9781543039117,社科,36-45,男,50-100,0,2025-01-01
R95437,9781543039117,社科,26-35,男,50-100,1,2025-01-01
R75715,9781543039117,社科,36-45,女,50-100,1,2025-01-01
R23566,9781543039117,社科,36-45,男,50-100,0,2025-01-01
R15130,9787824896383,社科,36-45,男,50-100,0,2025-01-01
R67595,9787824896383,社科,36-45,男,50-100,0,2025-01-01
R60779,9788713315098,社科,46-55,男,50-100,0,2025-01-01
R88366,9788713315098,社科,18-25,男,50-100,1,2025-01-01
R53863,9788713315098,社科,36-45,女,50-100,1,2025-01-01
R29709,9780310518347,社科,18-25,女,50-100,0,2025-01-01
R28537,9780310518347,社科,18-25,女,50-100,0,2025-01-01
R95990,9780310518347,社科,36-45,男,50-100,0,2025-01-01
R87993,9780310518347,社科,18-25,女,50-100,0,2025-01-01
R83259,9780310518347,社科,26-35,女,50-100,0,2025-01-01
R22249,9787631165667,社科,55+,女,50-100,0,2025-01-01
R57425,9787631165667,社科,36-45,男,50-100,1,2025-01-01
R38074,9787631165667,社科,18-25,女,50-100,0,2025-01-01
R35166,9787631165667,社科,36-45,男,50-100,0,2025-01-01
R20114,9787631165667,社科,18-25,男,50-100,0,2025-01-01
R14947,9786513338726,社科,18-25,男,50-100,0,2025-01-01
R91006,9786513338726,社科,18-25,男,50-100,1,2025-01-01
R31266,9786513338726,社科,18-25,女,50-100,1,2025-01-01
R91885,9786513338726,社科,36-45,女,50-100,0,2025-01-01
R67366,9786513338726,社科,26-35,男,50-100,1,2025-01-01
R47346,9781781080132,社科,46-55,男,50-100,0,2025-01-01
R40671,9781781080132,社科,55+,男,50-100,0,2025-01-01
R71474,9781781080132,社科,55+,男,50-100,0,2025-01-01
R98907,9781781080132,社科,36-45,女,50-100,0,2025-01-01
R70513,9781781080132,社科,18-25,女,50-100,0,2025-01-01
R36174,9786026064746,社科,55+,男,50-100,0,2025-01-01
R42768,9786026064746,社科,36-45,男,50-100,1,2025-01-01
R77621,9784309805009,社科,36-45,女,50-100,0,2025-01-01
R29313,9788121913619,科技,18-25,男,50-100,0,2025-01-01
R39102,9788121913619,科技,36-45,男,50-100,0,2025-01-01
R13495,9788121913619,科技,26-35,男,50-100,0,2025-01-01
R59015,9788121913619,科技,18-25,男,50-100,1,2025-01-01
R59140,9788121913619,科技,26-35,男,50-100,1,2025-01-01
R29142,9789985435346,科技,18-25,女,50-100,1,2025-01-01
R71925,9789985435346,科技,26-35,男,50-100,0,2025-01-01
R71487,9789985435346,科技,36-45,男,50-100,0,2025-01-01
R29597,9781079911838,科技,46-55,女,50-100,0,2025-01-01
R79176,9781079911838,科技,46-55,男,50-100,0,2025-01-01
R41252,9783542784980,科技,26-35,男,50-100,0,2025-01-01
R88215,9782411824493,科技,46-55,女,50-100,0,2025-01-01
R85372,9782411824493,科技,18-25,男,50-100,1,2025-01-01
R66261,9782411824493,科技,36-45,女,50-100,1,2025-01-01
R84798,9782411824493,科技,18-25,男,50-100,0,2025-01-01
R18870,9787401640052,科技,26-35,女,50-100,0,2025-01-01
R76535,9787401640052,科技,36-45,女,50-100,0,2025-01-01
R71621,9787401640052,科技,26-35,男,50-100,1,2025-01-01
R56805,9787868011280,科技,18-25,男,50-100,0,2025-01-01
R27486,9780450533158,科技,36-45,女,100+,1,2025-01-01
R94252,9780450533158,科技,55+,女,100+,1,2025-01-01
R70899,9780450533158,科技,26-35,女,100+,0,2025-01-01
R69988,9783226025634,科技,46-55,女,50-100,1,2025-01-01
R50642,9780733754330,科技,26-35,男,50-100,0,2025-01-01
R81176,9780733754330,科技,46-55,男,50-100,0,2025-01-01
R94790,9780733754330,科技,26-35,男,50-100,1,2025-01-01
R45811,9781458685014,少儿,26-35,男,20-50,1,2025-01-01
R62431,9781458685014,少儿,36-45,女,20-50,0,2025-01-01
R60678,9781458685014,少儿,36-45,女,20-50,0,2025-01-01
R44959,9789655698169,少儿,36-45,女,20-50,0,2025-01-01
R20345,9789655698169,少儿,36-45,男,20-50,0,2025-01-01
R33652,9789655698169,少儿,26-35,男,20-50,0,2025-01-01
R20494,9789655698169,少儿,36-45,女,20-50,0,2025-01-01
R68447,9789655698169,少儿,26-35,男,20-50,0,2025-01-01
R56210,9788835615951,少儿,18-25,男,50-100,0,2025-01-01
R57619,9786564823662,少儿,36-45,男,50-100,0,2025-01-01
R30969,9786564823662,少儿,26-35,女,50-100,0,2025-01-01
R89635,9786564823662,少儿,26-35,女,50-100,0,2025-01-01
R26545,9786564823662,少儿,26-35,女,50-100,1,2025-01-01
R14244,9780443699577,少儿,36-45,女,20-50,0,2025-01-01
R58623,9780443699577,少儿,26-35,女,20-50,0,2025-01-01
R85225,9780443699577,少儿,26-35,男,20-50,1,2025-01-01
R51207,9780443699577,少儿,26-35,女,20-50,0,2025-01-01
R24869,9780443699577,少儿,26-35,女,20-50,1,2025-01-01
R44311,9782148951343,少儿,26-35,男,50-100,0,2025-01-01
R74382,9783791769367,少儿,26-35,男,20-50,1,2025-01-01
R19706,9783791769367,少儿,36-45,男,20-50,0,2025-01-01
R68341,9783791769367,少儿,26-35,女,20-50,0,2025-01-01
R82089,9781632870831,少儿,26-35,女,20-50,0,2025-01-01
R57381,9787986872774,少儿,26-35,男,50-100,0,2025-01-01
R36342,9787986872774,少儿,26-35,男,50-100,0,2025-01-01
R85009,9783471434558,少儿,26-35,男,20-50,0,2025-01-01
R82305,9783471434558,少儿,26-35,男,20-50,1,2025-01-01
R18617,9783471434558,少儿,26-35,女,20-50,0,2025-01-01
R72739,9783471434558,少儿,36-45,男,20-50,0,2025-01-01
R85353,9783471434558,少儿,36-45,女,20-50,1,2025-01-01
R55156,9782316658760,教辅,18-25,女,20-50,1,2025-01-01
R82260,9782316658760,教辅,46-55,男,20-50,0,2025-01-01
R26912,9782316658760,教辅,36-45,女,20-50,0,2025-01-01
R17263,9782316658760,教辅,18-25,男,20-50,0,2025-01-01
R49862,9782316658760,教辅,18-25,男,20-50,1,2025-01-01
R47230,9789096705466,教辅,26-35,男,50-100,0,2025-01-01
R93238,9789096705466,教辅,26-35,男,50-100,0,2025-01-01
R91922,9789096705466,教辅,26-35,女,50-100,1,2025-01-01
R75873,9789096705466,教辅,26-35,女,50-100,0,2025-01-01
R86106,9789096705466,教辅,18-25,男,50-100,1,2025-01-01
R15399,9784670656272,教辅,26-35,男,50-100,0,2025-01-01
R15958,9784670656272,教辅,18-25,男,50-100,0,2025-01-01
R44688,9784670656272,教辅,18-25,男,50-100,0,2025-01-01
R64602,9784670656272,教辅,18-25,男,50-100,0,2025-01-01
R92203,9784670656272,教辅,26-35,女,50-100,0,2025-01-01
R48985,9789016272046,教辅,36-45,男,50-100,0,2025-01-01
R30719,9789016272046,教辅,18-25,女,50-100,0,2025-01-01
R36741,9789016272046,教辅,26-35,女,50-100,1,2025-01-01
R51853,9789016272046,教辅,18-25,男,50-100,0,2025-01-01
R77499,9786464170805,教辅,18-25,女,20-50,0,2025-01-01
R71141,9786464170805,教辅,26-35,男,20-50,1,2025-01-01
R28465,9786464170805,教辅,55+,女,20-50,1,2025-01-01
R42541,9780330923271,教辅,18-25,男,50-100,0,2025-01-01
R52917,9780330923271,教辅,18-25,男,50-100,0,2025-01-01
R34881,9780330923271,教辅,18-25,男,50-100,0,2025-01-01
R77466,9780330923271,教辅,18-25,女,50-100,0,2025-01-01
R76249,9784529912419,教辅,18-25,女,20-50,0,2025-01-01
R86460,9784529912419,教辅,55+,男,20-50,1,2025-01-01
R74866,9784529912419,教辅,46-55,女,20-50,0,2025-01-01
R98148,9784529912419,教辅,36-45,男,20-50,0,2025-01-01
R57943,9783193149190,教辅,18-25,女,50-100,0,2025-01-01
R62505,9783193149190,教辅,46-55,女,50-100,1,2025-01-01
R57516,9783193149190,教辅,26-35,男,50-100,0,2025-01-01
R46663,9788506716572,教辅,18-25,男,50-100,0,2025-01-01
R90090,9788506716572,教辅,26-35,女,50-100,1,2025-01-01
R61629,9788506716572,教辅,18-25,男,50-100,1,2025-01-01
R83116,9788506716572,教辅,26-35,男,50-100,0,2025-01-01
R36090,9788506716572,教辅,26-35,男,50-100,0,2025-01-01
R53652,9786945314737,教辅,26-35,女,50-100,0,2025-01-01
R29521,9786945314737,教辅,18-25,男,50-100,0,2025-01-01
R31299,9781043321819,文学,18-25,男,20-50,0,2025-01-01
R49221,9781043321819,文学,55+,男,20-50,0,2025-01-01
R76809,9781043321819,文学,46-55,男,20-50,0,2025-01-01
R58281,9783890838637,文学,36-45,女,20-50,0,2025-01-01
R88238,9786542351161,文学,26-35,女,20-50,0,2025-01-01
R72973,9780781618495,文学,26-35,女,20-50,1,2025-01-01
R91230,9780781618495,文学,46-55,女,20-50,0,2025-01-01
R99224,9780781618495,文学,18-25,女,20-50,1,2025-01-01
R24404,9780781618495,文学,55+,男,20-50,1,2025-01-01
R64890,9780781618495,文学,18-25,女,20-50,1,2025-01-01
R71814,9783413164752,文学,36-45,女,20-50,0,2025-01-01
R18163,9783413164752,文学,18-25,女,20-50,0,2025-01-01
R83516,9783413164752,文学,26-35,男,20-50,0,2025-01-01
R78875,9783413164752,文学,18-25,女,20-50,0,2025-01-01
R70249,9783413164752,文学,36-45,女,20-50,0,2025-01-01
R89963,9781928327648,文学,26-35,女,20-50,0,2025-01-01
R46569,9781928327648,文学,26-35,女,20-50,0,2025-01-01
R49008,9781928327648,文学,26-35,女,20-50,0,2025-01-01
R83464,9780564139537,文学,26-35,女,20-50,0,2025-01-01
R45842,9780564139537,文学,26-35,男,20-50,0,2025-01-01
R81197,9780564139537,文学,46-55,女,20-50,0,2025-01-01
R48070,9782388496965,文学,26-35,女,20-50,1,2025-01-01
R20358,9782388496965,文学,36-45,男,20-50,0,2025-01-01
R36485,9780122691669,文学,55+,女,50-100,0,2025-01-01
R83664,9780122691669,文学,18-25,女,50-100,0,2025-01-01
R39579,9781845146270,文学,26-35,女,50-100,0,2025-01-01
R64172,9781845146270,文学,18-25,男,50-100,0,2025-01-01
R99285,9781845146270,文学,26-35,女,50-100,0,2025-01-01
R82135,9781845146270,文学,36-45,女,50-100,0,2025-01-01
R95575,9781845146270,文学,26-35,女,50-100,0,2025-01-01
R52096,9781489325288,社科,18-25,女,50-100,0,2025-01-01
R21725,9781489325288,社科,26-35,女,50-100,0,2025-01-01
R14888,9781489325288,社科,26-35,女,50-100,0,2025-01-01
R62034,9781543039117,社科,36-45,女,50-100,0,2025-01-01
R49110,9787824896383,社科,26-35,男,50-100,0,2025-01-01
R78723,9788713315098,社科,46-55,女,20-50,0,2025-01-01
R76088,9788713315098,社科,26-35,男,20-50,0,2025-01-01
R24764,9788713315098,社科,26-35,女,20-50,0,2025-01-01
R94972,9788713315098,社科,36-45,女,20-50,0,2025-01-01
R54185,9788713315098,社科,46-55,女,20-50,0,2025-01-01
R66059,9780310518347,社科,36-45,女,20-50,0,2025-01-01
R97720,9780310518347,社科,36-45,男,20-50,1,2025-01-01
R72580,9780310518347,社科,36-45,女,20-50,0,2025-01-01
R44181,9780310518347,社科,36-45,女,20-50,0,2025-01-01
R86344,9787631165667,社科,46-55,男,50-100,0,2025-01-01
R95679,9787631165667,社科,55+,女,50-100,0,2025-01-01
R97528,9787631165667,社科,46-55,女,50-100,1,2025-01-01
R25389,9786513338726,社科,36-45,女,20-50,0,2025-01-01
R58174,9786513338726,社科,26-35,男,20-50,0,2025-01-01
R27507,9786513338726,社科,46-55,男,20-50,0,2025-01-01
R71712,9781781080132,社科,26-35,男,20-50,0,2025-01-01
R38627,9781781080132,社科,36-45,女,20-50,0,2025-01-01
R88094,9781781080132,社科,26-35,男,20-50,0,2025-01-01
R68556,9781781080132,社科,36-45,男,20-50,0,2025-01-01
R83946,9781781080132,社科,36-45,男,20-50,1,2025-01-01
R29641,9786026064746,社科,26-35,男,50-100,1,2025-01-01
R67912,9786026064746,社科,26-35,女,50-100,1,2025-01-01
R86434,9786026064746,社科,36-45,女,50-100,0,2025-01-01
R68390,9786026064746,社科,18-25,女,50-100,0,2025-01-01
R77272,9786026064746,社科,26-35,女,50-100,0,2025-01-01
R12853,9784309805009,社科,18-25,男,50-100,0,2025-01-01
R38560,9784309805009,社科,18-25,女,50-100,0,2025-01-01
R55158,9784309805009,社科,36-45,男,50-100,0,2025-01-01
R71875,9788121913619,科技,36-45,男,50-100,1,2025-01-01
R59081,9789985435346,科技,36-45,男,50-100,0,2025-01-01
R59479,9789985435346,科技,18-25,男,50-100,0,2025-01-01
R96742,9789985435346,科技,26-35,男,50-100,0,2025-01-01
R55582,9789985435346,科技,36-45,男,50-100,1,2025-01-01
R10455,9781079911838,科技,26-35,男,50-100,0,2025-01-01
R70686,9781079911838,科技,26-35,男,50-100,0,2025-01-01
R70375,9783542784980,科技,18-25,男,50-100,1,2025-01-01
R24790,9783542784980,科技,46-55,男,50-100,1,2025-01-01
R23224,9782411824493,科技,18-25,男,50-100,0,2025-01-01
R62725,9787401640052,科技,26-35,男,50-100,0,2025-01-01
R40692,9787868011280,科技,18-25,男,50-100,0,2025-01-01
R51799,9787868011280,科技,26-35,男,50-100,0,2025-01-01
R52030,9787868011280,科技,18-25,男,50-100,1,2025-01-01
R17989,9780450533158,科技,26-35,男,50-100,0,2025-01-01
R32955,9780450533158,科技,18-25,女,50-100,0,2025-01-01
R74962,9780450533158,科技,18-25,男,50-100,1,2025-01-01
R64568,9783226025634,科技,18-25,男,50-100,0,2025-01-01
R34101,9783226025634,科技,36-45,女,50-100,0,2025-01-01
R39536,9783226025634,科技,36-45,男,50-100,1,2025-01-01
R64090,9780733754330,科技,26-35,男,50-100,0,2025-01-01
R27575,9780733754330,科技,18-25,女,50-100,0,2025-01-01
R53288,9780733754330,科技,18-25,男,50-100,0,2025-01-01
R58637,9780733754330,科技,18-25,男,50-100,1,2025-01-01
R34966,9780733754330,科技,26-35,男,50-100,1,2025-01-01
R87015,9781458685014,少儿,36-45,女,20-50,0,2025-01-01
R72835,9781458685014,少儿,26-35,男,20-50,1,2025-01-01
R37762,9789655698169,少儿,26-35,女,20-50,0,2025-01-01
R41797,9788835615951,少儿,26-35,女,20-50,0,2025-01-01
R61987,9788835615951,少儿,26-35,女,20-50,0,2025-01-01
R47101,9788835615951,少儿,26-35,男,20-50,0,2025-01-01
R57088,9788835615951,少儿,46-55,女,20-50,0,2025-01-01
R51973,9786564823662,少儿,26-35,女,20-50,0,2025-01-01
R64254,9786564823662,少儿,26-35,女,20-50,1,2025-01-01
R29126,9786564823662,少儿,36-45,男,20-50,1,2025-01-01
R86550,9786564823662,少儿,18-25,男,20-50,0,2025-01-01
R59786,9780443699577,少儿,26-35,女,20-50,0,2025-01-01
R82173,9780443699577,少儿,26-35,女,20-50,0,2025-01-01
R94108,9782148951343,少儿,55+,女,20-50,0,2025-01-01
R56160,9782148951343,少儿,26-35,男,20-50,1,2025-01-01
R74004,9782148951343,少儿,18-25,女,20-50,1,2025-01-01
R94123,9782148951343,少儿,26-35,女,20-50,0,2025-01-01
R10836,9783791769367,少儿,26-35,女,20-50,0,2025-01-01
R11198,9781632870831,少儿,36-45,女,20-50,1,2025-01-01
R17923,9781632870831,少儿,26-35,男,20-50,0,2025-01-01
R10866,9787986872774,少儿,26-35,女,20-50,0,2025-01-01
R80220,9783471434558,少儿,36-45,女,20-50,0,2025-01-01
R98346,9783471434558,少儿,36-45,男,20-50,0,2025-01-01
R33496,9783471434558,少儿,46-55,男,20-50,1,2025-01-01
R79003,9782316658760,教辅,26-35,男,20-50,1,2025-01-01
R62022,9782316658760,教辅,18-25,女,20-50,1,2025-01-01
R70161,9782316658760,教辅,18-25,女,20-50,0,2025-01-01
R39603,9782316658760,教辅,18-25,男,20-50,1,2025-01-01
R20566,9782316658760,教辅,18-25,男,20-50,0,2025-01-01
R59436,9789096705466,教辅,26-35,男,20-50,0,2025-01-01
R11238,9789096705466,教辅,26-35,女,20-50,0,2025-01-01
R66873,9789096705466,教辅,26-35,男,20-50,0,2025-01-01
R22499,9789096705466,教辅,18-25,男,20-50,0,2025-01-01
